rank,nominal_trading_day,phase,replicate,case_id,candidate_id
81,41,P2-operating,3,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
82,41,P2-operating,3,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
83,42,P2-operating,3,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
84,42,P2-operating,3,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
85,43,P2-operating,3,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
86,43,P2-operating,3,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
87,44,P2-operating,3,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
88,44,P2-operating,3,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
89,45,P2-operating,3,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
90,45,P2-operating,3,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
91,46,P2-operating,3,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
92,46,P2-operating,3,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
93,47,P2-operating,3,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
94,47,P2-operating,3,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
95,48,P2-operating,3,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
96,48,P2-operating,3,jev-microstructure-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
97,49,P2-operating,3,jev-technical-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
98,49,P2-operating,3,jev-microstructure-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
99,50,P2-operating,3,jev-technical-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
100,50,P2-operating,3,jev-microstructure-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
101,51,P2-operating,3,jev-technical-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
102,51,P2-operating,3,jev-microstructure-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
103,52,P2-operating,4,jev-technical-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
104,52,P2-operating,4,jev-microstructure-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
105,53,P2-operating,4,jev-technical-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
106,53,P2-operating,4,jev-microstructure-p60-m20,slow-cadence-5m-60s-atr1-r1p5-15m
107,54,P2-operating,4,jev-technical-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
108,54,P2-operating,4,jev-microstructure-p70-m10,slow-cadence-5m-60s-atr1-r1p5-15m
109,55,P2-operating,4,jev-technical-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
110,55,P2-operating,4,jev-microstructure-p60-m10,fast-cadence-5m-15s-atr1-r1p5-15m
111,56,P2-operating,4,jev-technical-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
112,56,P2-operating,4,jev-microstructure-p60-m20,fast-cadence-5m-15s-atr1-r1p5-15m
113,57,P2-operating,4,jev-technical-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
114,57,P2-operating,4,jev-microstructure-p70-m10,fast-cadence-5m-15s-atr1-r1p5-15m
115,58,P2-operating,4,jev-technical-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
116,58,P2-operating,4,jev-microstructure-p60-m10,longer-hold-5m-30s-atr1-r1p5-30m
117,59,P2-operating,4,jev-technical-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
118,59,P2-operating,4,jev-microstructure-p60-m20,longer-hold-5m-30s-atr1-r1p5-30m
119,60,P2-operating,4,jev-technical-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
120,60,P2-operating,4,jev-microstructure-p70-m10,longer-hold-5m-30s-atr1-r1p5-30m
121,61,P2-operating,4,jev-technical-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
122,61,P2-operating,4,jev-microstructure-p60-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
123,62,P2-operating,4,jev-technical-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
124,62,P2-operating,4,jev-microstructure-p60-m20,wide-stop-5m-30s-atr1p5-r1p5-15m
125,63,P2-operating,4,jev-technical-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
126,63,P2-operating,4,jev-microstructure-p70-m10,wide-stop-5m-30s-atr1p5-r1p5-15m
127,64,P2-operating,5,jev-technical-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
128,64,P2-operating,5,jev-microstructure-p60-m10,slow-cadence-5m-60s-atr1-r1p5-15m
